P4_60_v1,P4_60_v2,P4_60_v3,P4_60_v4,P4_60_v5,P4_60_v6,P4_60_v7,P4_60_v8,P4_60_v9,P4_60_v10,P4_60_v11,P4_60_v12,P4_60_v13,P4_60_v14,P4_60_v15,P4_60_v16,P4_60_v17,P4_60_v18,P4_60_v19,P4_60_v20,P4_60_v21,Binarized
0.1334,0.1291,0.1423,0.1359,0.1474,0.1546,0.1454,0.1203,0.1305,0.1366,0.1357,0.1306,0.1293,0.1169,0.1171,0.1254,0.1173,0.1278,0.1333,0.1314,0.1313,High
0.1333,0.129,0.1423,0.1361,0.1473,0.1549,0.1457,0.1205,0.1307,0.1368,0.1359,0.1305,0.1292,0.1174,0.1172,0.1254,0.1175,0.1277,0.1333,0.1314,0.1312,Low
0.133,0.1287,0.1423,0.1364,0.1472,0.1557,0.1463,0.1212,0.1314,0.1372,0.1363,0.1303,0.1292,0.1189,0.1173,0.1253,0.1182,0.1275,0.1335,0.1313,0.1311,High
0.1327,0.1284,0.1424,0.1368,0.147,0.1566,0.147,0.1218,0.1321,0.1376,0.1368,0.13,0.1291,0.1203,0.1174,0.1253,0.1188,0.1273,0.1337,0.1313,0.131,Low
0.1326,0.1283,0.1424,0.1369,0.147,0.1569,0.1472,0.122,0.1324,0.1378,0.1369,0.1299,0.1291,0.1208,0.1174,0.1253,0.1191,0.1273,0.1337,0.1313,0.1309,High
0.1328,0.1284,0.1424,0.1371,0.1471,0.1569,0.1474,0.1219,0.1324,0.1381,0.1368,0.1298,0.129,0.1207,0.1175,0.1253,0.119,0.1273,0.1336,0.1312,0.1307,Low
0.1333,0.1288,0.1425,0.1377,0.1475,0.1568,0.1477,0.1214,0.1323,0.1388,0.1363,0.1295,0.1288,0.1203,0.1178,0.1255,0.1187,0.1273,0.1333,0.131,0.13,High
0.1339,0.1291,0.1426,0.1382,0.1479,0.1568,0.148,0.1208,0.1321,0.1395,0.1359,0.1292,0.1285,0.1198,0.118,0.1257,0.1184,0.1273,0.1331,0.1308,0.1294,High
0.1341,0.1293,0.1426,0.1384,0.148,0.1568,0.148,0.1206,0.1321,0.1397,0.1358,0.1291,0.1285,0.1197,0.1181,0.1257,0.1183,0.1272,0.133,0.1308,0.1292,High
0.134,0.1294,0.1428,0.1384,0.1479,0.157,0.1479,0.1207,0.1323,0.1398,0.1357,0.1292,0.1286,0.1199,0.1181,0.1255,0.1184,0.127,0.1331,0.1308,0.1293,High
0.1339,0.1298,0.1432,0.1384,0.1474,0.1577,0.1473,0.1211,0.1328,0.1399,0.1355,0.1296,0.1288,0.1207,0.1182,0.1249,0.1187,0.1265,0.1337,0.131,0.1298,High
0.1338,0.1301,0.1436,0.1384,0.147,0.1583,0.1468,0.1215,0.1332,0.14,0.1353,0.1299,0.1291,0.1214,0.1182,0.1243,0.119,0.126,0.1342,0.1312,0.1302,Low
0.1338,0.1303,0.1437,0.1385,0.1468,0.1585,0.1467,0.1216,0.1334,0.1401,0.1353,0.13,0.1292,0.1217,0.1183,0.1241,0.1191,0.1258,0.1344,0.1313,0.1304,Low
0.1339,0.1305,0.1438,0.1387,0.147,0.1585,0.147,0.1215,0.1332,0.1401,0.1352,0.1298,0.129,0.1218,0.1184,0.1241,0.1192,0.1259,0.1344,0.1313,0.1305,Low
0.1342,0.131,0.144,0.1393,0.1475,0.1583,0.148,0.1213,0.1326,0.14,0.1351,0.1292,0.1284,0.1218,0.1186,0.1241,0.1195,0.1263,0.1343,0.1313,0.1306,Low
0.1345,0.1315,0.1442,0.1398,0.148,0.1582,0.149,0.121,0.132,0.1399,0.135,0.1285,0.1278,0.1218,0.1188,0.1241,0.1198,0.1268,0.1341,0.1314,0.1307,Low
0.1346,0.1317,0.1442,0.1401,0.1482,0.1581,0.1493,0.121,0.1318,0.1399,0.1349,0.1283,0.1277,0.1218,0.1189,0.1241,0.1199,0.1269,0.1341,0.1314,0.1308,Low
0.1347,0.1315,0.1443,0.1402,0.1483,0.1581,0.1488,0.121,0.1321,0.1401,0.1349,0.1285,0.1278,0.1223,0.1189,0.124,0.1199,0.1268,0.134,0.1316,0.131,Low
0.1348,0.1309,0.1443,0.1405,0.1483,0.158,0.1474,0.1212,0.1329,0.1405,0.1347,0.129,0.1283,0.1234,0.1188,0.1239,0.1199,0.1266,0.1339,0.1318,0.1316,High
0.135,0.1303,0.1443,0.1408,0.1484,0.1579,0.146,0.1214,0.1337,0.1409,0.1345,0.1295,0.1287,0.1246,0.1187,0.1238,0.1198,0.1264,0.1338,0.1321,0.1322,High
0.1349,0.1297,0.1445,0.1403,0.1479,0.1587,0.1469,0.121,0.1337,0.1408,0.1343,0.1291,0.1282,0.1238,0.1185,0.1241,0.1196,0.1274,0.1338,0.1317,0.1324,Low
0.1348,0.1293,0.1448,0.1397,0.1476,0.1591,0.1481,0.1208,0.1331,0.1406,0.1342,0.1285,0.1275,0.1226,0.1184,0.1242,0.1194,0.1284,0.1338,0.1311,0.1323,Low
0.135,0.1293,0.1448,0.14,0.148,0.1583,0.1474,0.1214,0.1328,0.141,0.1343,0.1287,0.1278,0.1224,0.1183,0.1238,0.1194,0.1278,0.134,0.1311,0.1319,Low
0.1352,0.1293,0.1448,0.1403,0.1484,0.1576,0.1467,0.1219,0.1326,0.1414,0.1345,0.1289,0.128,0.1223,0.1182,0.1233,0.1194,0.1273,0.1342,0.1311,0.1316,High
0.1352,0.1293,0.1448,0.1404,0.1485,0.1573,0.1465,0.1221,0.1324,0.1415,0.1346,0.1289,0.1281,0.1223,0.1181,0.1231,0.1195,0.1271,0.1343,0.1311,0.1314,Low
0.1352,0.1292,0.1448,0.1404,0.1484,0.1574,0.1464,0.1222,0.1325,0.1414,0.1345,0.1291,0.1279,0.1225,0.1183,0.1233,0.1196,0.127,0.1344,0.131,0.1311,Low
0.1347,0.129,0.145,0.1403,0.1473,0.1581,0.1466,0.1225,0.1327,0.1405,0.1339,0.1299,0.1271,0.1237,0.1194,0.1242,0.1206,0.1268,0.1348,0.1308,0.1293,Low
0.1346,0.1289,0.1451,0.1402,0.1471,0.1582,0.1466,0.1226,0.1328,0.1403,0.1338,0.1301,0.127,0.1239,0.1196,0.1244,0.1207,0.1268,0.1349,0.1308,0.129,Low
0.1351,0.1291,0.1447,0.1397,0.1468,0.1572,0.147,0.1223,0.1328,0.1405,0.1341,0.1298,0.128,0.1231,0.1194,0.1243,0.1194,0.1278,0.1338,0.131,0.1298,Low
0.1354,0.1292,0.1444,0.1393,0.1467,0.1564,0.1473,0.122,0.1328,0.1407,0.1343,0.1297,0.1288,0.1225,0.1192,0.1243,0.1185,0.1286,0.1329,0.1312,0.1303,Low
0.1356,0.1293,0.1442,0.1391,0.1466,0.1561,0.1474,0.1219,0.1328,0.1407,0.1344,0.1296,0.129,0.1223,0.1191,0.1243,0.1181,0.1289,0.1327,0.1313,0.1306,Low
0.1355,0.1294,0.144,0.1391,0.1465,0.1561,0.1473,0.1219,0.1328,0.1407,0.1344,0.1296,0.1289,0.1222,0.1193,0.1244,0.1181,0.1288,0.1328,0.1315,0.1308,High
0.1352,0.1297,0.1435,0.1393,0.1463,0.1562,0.1469,0.1219,0.1329,0.1407,0.1343,0.1298,0.1285,0.1221,0.1199,0.1247,0.118,0.1285,0.1332,0.1319,0.1312,Low
0.1348,0.1301,0.1428,0.1394,0.1461,0.1562,0.1464,0.1219,0.1331,0.1405,0.1341,0.1299,0.128,0.1219,0.1207,0.1251,0.118,0.1281,0.1337,0.1325,0.1317,Low
0.1346,0.1299,0.1427,0.139,0.146,0.1561,0.1462,0.1219,0.1328,0.1401,0.1342,0.1298,0.128,0.1217,0.1202,0.1249,0.1181,0.1281,0.1337,0.1323,0.1316,Low
0.1343,0.1293,0.1425,0.1379,0.1458,0.1556,0.1458,0.1219,0.1322,0.139,0.1346,0.1296,0.1281,0.1211,0.119,0.1246,0.1184,0.1282,0.1336,0.1317,0.1311,Low
0.134,0.1288,0.1423,0.1369,0.1457,0.1551,0.1454,0.1218,0.1315,0.1379,0.1349,0.1294,0.1282,0.1205,0.1178,0.1242,0.1188,0.1282,0.1335,0.131,0.1306,Low
0.1339,0.1286,0.1423,0.1365,0.1456,0.155,0.1453,0.1218,0.1313,0.1375,0.1351,0.1293,0.1283,0.1203,0.1174,0.1241,0.1189,0.1282,0.1335,0.1308,0.1305,Low
0.1338,0.1288,0.1425,0.1378,0.1468,0.1563,0.1459,0.1216,0.1323,0.1388,0.1349,0.1297,0.1288,0.1201,0.1179,0.1241,0.1185,0.1274,0.1341,0.131,0.1305,Low
0.1336,0.1289,0.1427,0.1387,0.1476,0.1573,0.1464,0.1215,0.133,0.1398,0.1348,0.13,0.1291,0.12,0.1184,0.1241,0.1182,0.1268,0.1346,0.1312,0.1306,Low
0.1336,0.1289,0.1428,0.139,0.1479,0.1577,0.1466,0.1214,0.1332,0.1402,0.1348,0.13,0.1292,0.12,0.1186,0.1241,0.1181,0.1266,0.1347,0.1313,0.1306,High
0.1337,0.129,0.1428,0.1389,0.148,0.1578,0.1468,0.1213,0.1332,0.1403,0.1347,0.1298,0.1292,0.1206,0.1189,0.1241,0.1183,0.1266,0.1346,0.1314,0.1308,High
0.1341,0.129,0.1429,0.1384,0.1483,0.158,0.1473,0.121,0.1329,0.1404,0.1346,0.1293,0.1291,0.122,0.1198,0.1243,0.1187,0.1265,0.1342,0.1317,0.1312,High
0.1344,0.1291,0.143,0.138,0.1486,0.1582,0.1479,0.1207,0.1327,0.1405,0.1345,0.1287,0.129,0.1235,0.1206,0.1244,0.1191,0.1265,0.1338,0.132,0.1316,High
0.1346,0.1291,0.1431,0.1378,0.1487,0.1582,0.148,0.1206,0.1326,0.1406,0.1345,0.1285,0.1289,0.124,0.1209,0.1244,0.1193,0.1264,0.1336,0.132,0.1317,High
0.1346,0.1293,0.1431,0.1376,0.1485,0.158,0.1477,0.1209,0.1325,0.1404,0.1346,0.1287,0.1288,0.1236,0.1206,0.1244,0.1194,0.1265,0.1336,0.1318,0.1317,Low
0.1347,0.1297,0.1433,0.1372,0.1478,0.1576,0.1469,0.1215,0.1323,0.1398,0.1352,0.1293,0.1286,0.1224,0.1199,0.1243,0.1196,0.1267,0.1338,0.1312,0.1317,Low
0.1347,0.1302,0.1434,0.1366,0.1468,0.1569,0.1458,0.1224,0.1321,0.1391,0.1359,0.13,0.1283,0.1208,0.1188,0.1243,0.1199,0.1269,0.1339,0.1303,0.1316,Low
0.1347,0.13,0.1432,0.1366,0.1468,0.157,0.1459,0.1221,0.1319,0.139,0.1357,0.1298,0.1283,0.1205,0.1187,0.1244,0.1195,0.127,0.1337,0.1304,0.1313,High
0.1345,0.1295,0.1425,0.1368,0.1469,0.1571,0.1463,0.1212,0.1315,0.1389,0.1351,0.1292,0.1283,0.1199,0.1187,0.1246,0.1185,0.1271,0.1333,0.1308,0.1306,Low
0.1343,0.129,0.1419,0.1369,0.147,0.1572,0.1467,0.1203,0.1311,0.1388,0.1345,0.1285,0.1284,0.1192,0.1186,0.1248,0.1175,0.1272,0.1328,0.1313,0.1299,Low
0.1342,0.1288,0.1416,0.1369,0.1471,0.1573,0.1469,0.12,0.131,0.1388,0.1343,0.1283,0.1284,0.119,0.1186,0.1249,0.1172,0.1273,0.1326,0.1314,0.1297,Low
0.1341,0.1289,0.1418,0.137,0.1471,0.1573,0.147,0.1203,0.1312,0.139,0.1346,0.1287,0.1286,0.1193,0.1186,0.1247,0.1174,0.1273,0.1327,0.1314,0.1298,Low
0.1336,0.1291,0.1422,0.1371,0.1472,0.1575,0.1473,0.121,0.1317,0.1395,0.1353,0.1297,0.1289,0.1202,0.1187,0.1242,0.118,0.1273,0.1329,0.1313,0.1303,High
0.1331,0.1293,0.1426,0.1372,0.1472,0.1577,0.1475,0.1218,0.1322,0.14,0.136,0.1307,0.1293,0.1211,0.1187,0.1237,0.1187,0.1273,0.1332,0.1311,0.1307,High
0.133,0.1294,0.1427,0.1372,0.1473,0.1577,0.1476,0.1221,0.1324,0.1402,0.1362,0.131,0.1294,0.1214,0.1188,0.1235,0.1189,0.1273,0.1332,0.1311,0.1309,High
0.1331,0.1295,0.1426,0.1371,0.1473,0.1573,0.1474,0.1222,0.1323,0.1401,0.1361,0.1309,0.1294,0.1213,0.1188,0.1235,0.1189,0.1274,0.1332,0.131,0.1308,Low
0.1333,0.1298,0.1423,0.1366,0.1474,0.1563,0.1471,0.1225,0.132,0.1397,0.1358,0.1306,0.1292,0.1209,0.1189,0.1235,0.1188,0.1278,0.133,0.1309,0.1303,Low
0.1336,0.13,0.1419,0.1361,0.1475,0.1553,0.1467,0.1228,0.1317,0.1393,0.1354,0.1302,0.129,0.1204,0.1189,0.1236,0.1187,0.1283,0.1328,0.1308,0.1299,Low
0.1338,0.1301,0.1418,0.136,0.1476,0.155,0.1466,0.1229,0.1316,0.1391,0.1353,0.1301,0.1289,0.1203,0.1189,0.1236,0.1186,0.1284,0.1328,0.1308,0.1298,High
0.1341,0.1301,0.1419,0.1363,0.1477,0.1552,0.1465,0.1227,0.1319,0.1393,0.1351,0.13,0.129,0.1206,0.1191,0.1236,0.1188,0.1284,0.1328,0.1308,0.1298,High
0.1359,0.1301,0.1426,0.1382,0.1482,0.1566,0.1462,0.1215,0.1334,0.1405,0.1343,0.1294,0.1292,0.1221,0.1196,0.1236,0.1197,0.128,0.1332,0.1312,0.1302,Low
0.1361,0.1299,0.1424,0.1384,0.1481,0.1568,0.1461,0.1212,0.1333,0.1406,0.134,0.1291,0.1292,0.1221,0.1194,0.1237,0.1197,0.1275,0.1332,0.1311,0.1301,Low
0.1355,0.1292,0.1406,0.1377,0.1471,0.1562,0.1462,0.1208,0.1311,0.1399,0.1338,0.1286,0.1288,0.1207,0.1179,0.124,0.1187,0.1252,0.133,0.1306,0.1291,Low
0.1354,0.1291,0.1404,0.1376,0.147,0.1561,0.1463,0.1208,0.1307,0.1398,0.1338,0.1285,0.1288,0.1205,0.1177,0.1241,0.1185,0.1249,0.1329,0.1305,0.129,Low
0.1354,0.1292,0.1407,0.1378,0.1471,0.1564,0.1465,0.121,0.1309,0.14,0.134,0.1289,0.1287,0.1207,0.118,0.1243,0.1187,0.1251,0.1329,0.1308,0.1295,High
0.1354,0.1296,0.1418,0.1383,0.1477,0.1571,0.1471,0.1217,0.1316,0.1405,0.1347,0.13,0.1287,0.1213,0.1189,0.1248,0.1192,0.126,0.1328,0.1318,0.1309,High
0.1354,0.1301,0.1432,0.1391,0.1484,0.158,0.1479,0.1225,0.1326,0.1412,0.1355,0.1315,0.1286,0.1221,0.1201,0.1256,0.1199,0.1272,0.1326,0.133,0.1328,Low
0.1355,0.1301,0.1432,0.1394,0.1486,0.1581,0.1478,0.1224,0.1328,0.1414,0.1353,0.1312,0.1285,0.1223,0.1201,0.1255,0.1199,0.1272,0.1327,0.1328,0.1327,Low
0.1358,0.1302,0.1431,0.1403,0.149,0.1581,0.1474,0.122,0.1334,0.1417,0.1347,0.1304,0.1284,0.1228,0.12,0.1252,0.1198,0.1272,0.133,0.1323,0.1321,High
0.1361,0.1302,0.143,0.1411,0.1494,0.1581,0.1471,0.1216,0.134,0.142,0.134,0.1296,0.1283,0.1234,0.12,0.1249,0.1197,0.1271,0.1333,0.1317,0.1315,High
0.1363,0.1303,0.143,0.1414,0.1495,0.1581,0.1469,0.1215,0.1342,0.1421,0.1338,0.1293,0.1283,0.1236,0.12,0.1248,0.1196,0.1271,0.1334,0.1315,0.1313,Low
0.1363,0.1305,0.1431,0.1414,0.1494,0.1581,0.1468,0.1216,0.1342,0.1422,0.1339,0.1296,0.1281,0.1239,0.1201,0.1247,0.1196,0.1272,0.1335,0.1314,0.1314,Low
0.1365,0.131,0.1437,0.1415,0.1488,0.1581,0.1467,0.1221,0.134,0.1426,0.1343,0.1303,0.1278,0.1245,0.1206,0.1245,0.1195,0.1274,0.1337,0.1313,0.1317,High
0.1367,0.1315,0.1442,0.1416,0.1483,0.1581,0.1465,0.1226,0.1338,0.1429,0.1346,0.1311,0.1274,0.1252,0.1211,0.1243,0.1195,0.1277,0.1339,0.1313,0.132,Low
0.1367,0.1317,0.1444,0.1416,0.1481,0.1581,0.1464,0.1227,0.1338,0.1431,0.1348,0.1314,0.1273,0.1254,0.1212,0.1243,0.1195,0.1278,0.1339,0.1313,0.1321,Low
0.1366,0.1313,0.1445,0.1417,0.1481,0.1584,0.1465,0.1228,0.1339,0.1432,0.1349,0.1313,0.1273,0.1252,0.121,0.1242,0.1196,0.1279,0.1339,0.1313,0.1319,Low
0.1363,0.1303,0.1448,0.142,0.1483,0.159,0.1468,0.1229,0.1343,0.1434,0.1351,0.1308,0.1273,0.1246,0.1203,0.1242,0.12,0.1283,0.1339,0.1315,0.1314,Low
0.136,0.1292,0.1451,0.1423,0.1484,0.1596,0.147,0.123,0.1346,0.1437,0.1353,0.1304,0.1274,0.124,0.1196,0.1241,0.1204,0.1286,0.1339,0.1317,0.131,High
0.1359,0.1289,0.1452,0.1424,0.1484,0.1598,0.1471,0.1231,0.1347,0.1437,0.1354,0.1303,0.1274,0.1238,0.1193,0.1241,0.1205,0.1287,0.1339,0.1317,0.1308,High
0.136,0.129,0.1449,0.1423,0.1486,0.1596,0.1473,0.123,0.1347,0.1438,0.1353,0.1303,0.1276,0.124,0.1195,0.1241,0.1203,0.1286,0.1339,0.1317,0.1306,Low
0.1361,0.1297,0.1442,0.142,0.1491,0.159,0.1477,0.1228,0.1346,0.1439,0.1348,0.1304,0.1278,0.1247,0.12,0.124,0.1194,0.1282,0.1337,0.1317,0.1301,Low
0.1362,0.1303,0.1434,0.1417,0.1496,0.1584,0.1481,0.1227,0.1345,0.144,0.1344,0.1305,0.1281,0.1253,0.1205,0.124,0.1186,0.1278,0.1335,0.1316,0.1296,High
0.1362,0.1305,0.1431,0.1416,0.1497,0.1581,0.1482,0.1226,0.1344,0.1441,0.1343,0.1306,0.1282,0.1255,0.1207,0.1239,0.1183,0.1276,0.1334,0.1316,0.1295,High
0.1361,0.1305,0.1431,0.1416,0.1495,0.158,0.148,0.1225,0.1344,0.144,0.1343,0.1304,0.128,0.1253,0.1207,0.1239,0.1184,0.1277,0.1334,0.1315,0.1296,High
0.1358,0.1303,0.143,0.1417,0.149,0.1579,0.1475,0.1223,0.1342,0.1438,0.1343,0.1299,0.1275,0.1244,0.1207,0.1239,0.1187,0.1278,0.1334,0.1314,0.1299,Low
0.1354,0.13,0.1429,0.1417,0.1485,0.1578,0.147,0.122,0.134,0.1435,0.1343,0.1295,0.127,0.1236,0.1206,0.1239,0.119,0.128,0.1334,0.1313,0.1303,High
0.1353,0.13,0.1429,0.1418,0.1483,0.1577,0.1468,0.1219,0.1339,0.1434,0.1343,0.1293,0.1268,0.1233,0.1206,0.1239,0.1191,0.1281,0.1334,0.1313,0.1304,Low
0.1357,0.1315,0.1428,0.1418,0.1488,0.1573,0.147,0.1211,0.1339,0.1424,0.1343,0.13,0.1288,0.1244,0.1199,0.1241,0.1201,0.1264,0.134,0.132,0.131,High
0.1357,0.1317,0.1428,0.1417,0.1489,0.1573,0.1471,0.121,0.1339,0.1423,0.1343,0.1301,0.129,0.1246,0.1198,0.1241,0.1203,0.1262,0.1341,0.1321,0.1311,Low
0.1357,0.1316,0.1429,0.1415,0.1488,0.1573,0.1473,0.1212,0.134,0.1424,0.1345,0.1301,0.129,0.1246,0.1198,0.1241,0.1203,0.1263,0.134,0.132,0.1312,Low
0.1357,0.1311,0.1431,0.1408,0.1486,0.1576,0.1478,0.1218,0.1341,0.1428,0.1352,0.1303,0.1287,0.1246,0.1199,0.1241,0.1204,0.1268,0.1338,0.1318,0.1314,High
0.1356,0.1306,0.1433,0.1402,0.1484,0.1578,0.1482,0.1224,0.1342,0.1432,0.1358,0.1304,0.1284,0.1246,0.1201,0.1241,0.1206,0.1274,0.1337,0.1317,0.1317,High
0.1356,0.1304,0.1434,0.14,0.1483,0.1579,0.1484,0.1226,0.1342,0.1434,0.1361,0.1304,0.1283,0.1246,0.1201,0.1241,0.1206,0.1276,0.1336,0.1316,0.1317,Low
0.1357,0.1302,0.1435,0.1402,0.1483,0.158,0.1482,0.1226,0.1342,0.1431,0.1361,0.1301,0.1282,0.1245,0.1202,0.1242,0.1205,0.1275,0.1334,0.1314,0.1314,High
0.1359,0.1298,0.1437,0.1409,0.1485,0.1582,0.1476,0.1226,0.1339,0.1424,0.1361,0.1294,0.1279,0.1241,0.1204,0.1243,0.1203,0.1274,0.1331,0.1311,0.1304,Low
0.1362,0.1293,0.1438,0.1416,0.1487,0.1585,0.147,0.1226,0.1337,0.1417,0.1361,0.1287,0.1277,0.1237,0.1205,0.1245,0.12,0.1273,0.1327,0.1307,0.1295,High
0.1362,0.1291,0.1439,0.1418,0.1487,0.1585,0.1468,0.1226,0.1336,0.1414,0.1361,0.1285,0.1276,0.1236,0.1205,0.1246,0.1199,0.1273,0.1326,0.1306,0.1292,Low
0.1361,0.1292,0.1439,0.1415,0.1486,0.1583,0.1468,0.1225,0.1332,0.1409,0.1359,0.1287,0.1277,0.1234,0.1202,0.1243,0.1197,0.1275,0.1329,0.1306,0.1296,Low
