P5_3_v1,P5_3_v2,P5_3_v3,P5_3_v4,Binarized
0.1189,0.1245,0.1266,0.1349,High
0.1189,0.1246,0.1268,0.135,Low
0.119,0.1247,0.1272,0.1353,High
0.1191,0.1248,0.1277,0.1355,Low
0.119,0.1249,0.128,0.1356,High
0.1189,0.125,0.1282,0.1357,Low
0.1185,0.1255,0.1288,0.1361,High
0.118,0.1259,0.1294,0.1365,High
0.1179,0.126,0.1296,0.1366,High
0.118,0.1259,0.1296,0.1363,High
0.1185,0.1254,0.1294,0.1356,High
0.1189,0.1249,0.1293,0.1348,Low
0.119,0.1247,0.1292,0.1345,Low
0.119,0.1248,0.1293,0.1345,Low
0.1188,0.1251,0.1295,0.1345,Low
0.1185,0.1253,0.1297,0.1345,Low
0.1184,0.1254,0.1298,0.1345,Low
0.1183,0.1254,0.1294,0.1344,Low
0.118,0.1251,0.1284,0.1341,High
0.1177,0.1249,0.1274,0.1338,High
0.1182,0.1248,0.1282,0.1343,Low
0.1188,0.1249,0.1293,0.1349,Low
0.1186,0.1251,0.1293,0.1348,Low
0.1184,0.1254,0.1292,0.1347,High
0.1183,0.1254,0.1292,0.1346,Low
0.1183,0.1253,0.129,0.1346,Low
0.1184,0.1244,0.128,0.1342,Low
0.1184,0.1242,0.1278,0.1342,Low
0.1185,0.1244,0.1277,0.1343,Low
0.1185,0.1245,0.1277,0.1344,Low
0.1184,0.1245,0.1277,0.1345,Low
0.1184,0.1245,0.1278,0.1347,High
0.1181,0.1245,0.128,0.1351,Low
0.1178,0.1245,0.1284,0.1357,Low
0.1179,0.1245,0.1283,0.1354,Low
0.118,0.1245,0.1279,0.1347,Low
0.1181,0.1245,0.1275,0.134,Low
0.1181,0.1245,0.1274,0.1338,Low
0.118,0.1242,0.1283,0.1343,Low
0.1179,0.124,0.1289,0.1348,Low
0.1178,0.1239,0.1291,0.1349,High
0.1179,0.1239,0.1288,0.1347,High
0.1181,0.1239,0.1279,0.1341,High
0.1184,0.1239,0.1271,0.1335,High
0.1184,0.1239,0.1268,0.1333,High
0.1185,0.1242,0.1268,0.1333,Low
0.1185,0.125,0.1272,0.1333,Low
0.1186,0.126,0.1276,0.1334,Low
0.1185,0.1259,0.1276,0.1334,High
0.1183,0.1256,0.1276,0.1335,Low
0.1181,0.1253,0.1276,0.1337,Low
0.118,0.1252,0.1276,0.1337,Low
0.1182,0.1253,0.1277,0.1335,Low
0.1186,0.1256,0.1279,0.133,High
0.119,0.1259,0.1282,0.1325,High
0.1192,0.126,0.1282,0.1323,High
0.1191,0.126,0.1282,0.1324,Low
0.1188,0.1257,0.1282,0.1326,Low
0.1184,0.1254,0.1281,0.1328,Low
0.1183,0.1253,0.1281,0.1329,High
0.1183,0.1253,0.1281,0.1328,High
0.1184,0.1254,0.1284,0.132,Low
0.1182,0.1254,0.1284,0.1321,Low
0.1169,0.1253,0.1281,0.1333,Low
0.1167,0.1253,0.1281,0.1335,Low
0.117,0.1254,0.1282,0.1337,High
0.118,0.1255,0.1283,0.1339,High
0.1193,0.1257,0.1286,0.1343,Low
0.1193,0.1256,0.1288,0.1344,Low
0.1192,0.1252,0.1292,0.1345,High
0.1191,0.1248,0.1296,0.1346,High
0.1191,0.1247,0.1298,0.1346,Low
0.1191,0.1249,0.1298,0.1346,Low
0.1192,0.1254,0.1298,0.1344,High
0.1193,0.1259,0.1298,0.1342,Low
0.1194,0.126,0.1298,0.1342,Low
0.1195,0.1259,0.1299,0.1339,Low
0.1198,0.1256,0.1301,0.1334,Low
0.12,0.1253,0.1303,0.1328,High
0.1201,0.1252,0.1304,0.1327,High
0.12,0.1252,0.1303,0.133,Low
0.1198,0.1255,0.13,0.1339,Low
0.1195,0.1257,0.1296,0.1349,High
0.1194,0.1258,0.1295,0.1352,High
0.1195,0.1258,0.1296,0.1354,High
0.1196,0.1258,0.1297,0.1356,Low
0.1198,0.1259,0.1299,0.1358,High
0.1198,0.1259,0.1299,0.1358,Low
0.1183,0.1259,0.1289,0.1343,High
0.1181,0.1259,0.1288,0.1341,Low
0.1182,0.1259,0.1291,0.1345,Low
0.1188,0.1258,0.1299,0.1356,High
0.1194,0.1257,0.1307,0.1367,High
0.1196,0.1256,0.131,0.1371,Low
0.1195,0.1257,0.1306,0.1372,High
0.1192,0.1261,0.1295,0.1373,Low
0.1188,0.1264,0.1284,0.1374,High
0.1186,0.1265,0.128,0.1374,Low
0.1187,0.1264,0.128,0.1371,Low
0.1188,0.126,0.1281,0.1363,Low
0.119,0.1256,0.1282,0.1355,Low
0.1191,0.1255,0.1282,0.1351,Low
0.119,0.1254,0.1281,0.1351,Low
0.1189,0.1252,0.1276,0.135,Low
0.1188,0.1251,0.1272,0.135,Low
0.1187,0.125,0.1271,0.1348,Low
0.1185,0.1251,0.1274,0.1343,High
0.1182,0.1253,0.1277,0.1339,High
0.1182,0.1253,0.1278,0.1338,Low
0.1184,0.1253,0.1281,0.1339,Low
0.119,0.1253,0.1289,0.1344,Low
0.1196,0.1253,0.1296,0.1349,High
0.1198,0.1253,0.1299,0.1351,Low
0.1197,0.1254,0.1301,0.1353,Low
0.1192,0.1257,0.1303,0.1357,High
0.1188,0.126,0.1305,0.136,Low
0.1186,0.1261,0.1304,0.1359,Low
0.1186,0.1262,0.13,0.1351,Low
0.1186,0.1262,0.1295,0.1343,High
0.1186,0.1262,0.1294,0.134,Low
0.1187,0.1262,0.1293,0.1339,Low
0.1188,0.1261,0.1293,0.1336,High
0.1189,0.126,0.1293,0.1332,High
0.1189,0.1259,0.1294,0.1332,Low
0.1189,0.1259,0.1294,0.1336,Low
0.1188,0.1257,0.1297,0.136,Low
0.1188,0.1256,0.1298,0.1364,High
0.1188,0.1256,0.1297,0.1364,High
0.119,0.1257,0.1293,0.1361,Low
0.1191,0.1257,0.1292,0.1361,High
0.1191,0.125,0.1283,0.1362,Low
0.1191,0.1249,0.1282,0.1362,Low
0.1189,0.125,0.1287,0.1361,High
0.1185,0.1254,0.13,0.136,Low
0.1181,0.1258,0.1313,0.1359,High
0.118,0.1259,0.1317,0.1359,High
0.1181,0.1259,0.1313,0.1357,High
0.1184,0.1258,0.1301,0.1352,High
0.1186,0.1258,0.1289,0.1347,Low
0.1187,0.1258,0.1285,0.1345,High
0.1187,0.1259,0.1286,0.1346,Low
0.1186,0.1262,0.129,0.1347,High
0.1185,0.1266,0.1293,0.1349,High
0.1185,0.1267,0.1295,0.1349,High
0.1184,0.1267,0.1297,0.1349,High
0.1183,0.1267,0.1303,0.1347,High
